,Track,Artist,Year,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,Duration_min,Popularity_bin,Decade,Cluster
62,This Is a Low - 2012 Remaster,Blur,1994,4,0.271,0.5,9,-8.661,1,0.0325,0.211,0.00156,0.111,0.32,170.06,39,Alt. Rock,5.281766666666667,Medium,1990,3
63,Country House,Blur,1995,4,0.341,0.895,9,-6.66,1,0.076,0.147,0.0,0.0741,0.677,174.987,51,Alt. Rock,3.9622166666666665,High,1990,3
64,Beetlebum,Blur,1997,4,0.487,0.648,0,-5.14,1,0.0278,0.0351,0.000201,0.266,0.704,89.573,46,Alt. Rock,5.085766666666666,High,1990,0
65,Song 2,Blur,1997,4,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,67,Alt. Rock,2.0313333333333334,Very High,1990,0
66,Coffee & TV,Blur,1999,4,0.743,0.742,2,-10.117,1,0.0367,0.051,0.234,0.0987,0.706,121.604,62,Alt. Rock,5.97955,Very High,1990,0
67,Tender,Blur,1999,4,0.587,0.566,9,-9.932,1,0.0276,0.469,0.0,0.0644,0.528,76.055,58,Alt. Rock,7.6991,High,1990,2
68,Frank Sinatra,CAKE,1996,4,0.675,0.511,7,-9.208,1,0.0415,0.175,0.0261,0.183,0.569,114.201,51,Alt. Rock,4.0171,High,1990,0
69,I Will Survive,CAKE,1996,4,0.501,0.689,4,-7.952,0,0.0318,0.306,0.000169,0.133,0.873,95.758,61,Alt. Rock,5.1722166666666665,Very High,1990,0
70,Jolene,CAKE,1996,4,0.498,0.576,8,-9.853,0,0.0411,0.305,1.73e-05,0.544,0.847,94.232,40,Alt. Rock,5.32,Medium,1990,0
71,Short Skirt / Long Jacket,CAKE,1996,4,0.771,0.809,2,-10.029,1,0.0461,0.003,0.0223,0.0252,0.886,120.038,65,Alt. Rock,3.4021333333333335,Very High,1990,0
72,Stickshifts and Safetybelts,CAKE,1996,4,0.659,0.682,1,-9.668,0,0.137,0.416,0.0,0.314,0.913,141.556,44,Alt. Rock,2.144216666666667,Medium,1990,0
73,The Distance,CAKE,1996,4,0.457,0.752,11,-8.121,0,0.09,0.00959,0.00136,0.0573,0.897,183.578,68,Alt. Rock,2.993333333333333,Very High,1990,0
74,Never There,CAKE,1998,4,0.761,0.735,9,-8.171,0,0.043,0.0426,0.0838,0.0917,0.592,125.815,61,Alt. Rock,2.7377666666666665,Very High,1990,0
75,Comfort Eagle,CAKE,2001,4,0.735,0.692,11,-9.671,1,0.0582,0.0932,0.0,0.217,0.894,120.99,53,Alt. Rock,3.6700333333333335,High,2000,0
76,Sheep Go To Heaven,CAKE,2001,4,0.639,0.679,4,-8.867,0,0.0401,0.0182,1.08e-05,0.117,0.784,102.592,48,Alt. Rock,3.80155,High,2000,0
77,Wheels,CAKE,2001,4,0.696,0.476,4,-7.955,0,0.0373,0.128,0.0,0.121,0.963,161.311,45,Alt. Rock,3.3033333333333332,High,2000,0
78,Mr. Jones,Counting Crows,1993,4,0.578,0.817,0,-6.541,1,0.0363,0.183,2.85e-06,0.285,0.734,141.621,78,Alt. Rock,4.538216666666667,Very High,1990,0
79,Round Here,Counting Crows,1993,4,0.313,0.477,7,-9.37,1,0.0342,0.143,7.31e-05,0.0814,0.186,94.192,60,Alt. Rock,5.523333333333333,Very High,1990,3
80,A Long December,Counting Crows,1996,4,0.388,0.579,5,-6.983,1,0.0286,0.472,0.00055,0.219,0.381,70.662,58,Alt. Rock,4.917766666666667,High,1990,2
81,Big Yellow Taxi,Counting Crows,2002,4,0.678,0.866,1,-4.341,1,0.048,0.00295,0.0,0.16,0.842,88.041,64,Alt. Rock,3.75955,Very High,2000,0
82,Superman's Song,Crash Test Dummies,1991,4,0.406,0.124,10,-19.825,1,0.0342,0.613,1.08e-06,0.108,0.316,168.4,42,Alt. Rock,4.526666666666666,Medium,1990,2
83,Androgynous,Crash Test Dummies,1992,4,0.5,0.209,10,-16.07,1,0.0468,0.424,0.0,0.101,0.67,115.884,22,Alt. Rock,2.6102166666666666,Low,1990,2
84,Keep A Lid On Things,Crash Test Dummies,1992,4,0.568,0.726,9,-9.01,1,0.185,0.0614,0.000174,0.151,0.744,166.409,29,Alt. Rock,2.76,Medium,1990,0
85,He Liked To Feel It,Crash Test Dummies,1993,4,0.758,0.575,11,-7.354,0,0.0316,0.08,0.085,0.0864,0.698,112.992,20,Alt. Rock,3.9217666666666666,Low,1990,0
86,In The Days Of The Caveman,Crash Test Dummies,1993,4,0.655,0.85,11,-7.695,1,0.0317,0.079,0.000864,0.329,0.642,122.95,37,Alt. Rock,3.6748833333333333,Medium,1990,0
87,Mmm Mmm Mmm Mmm,Crash Test Dummies,1993,4,0.58,0.575,3,-7.72,1,0.0231,0.25,1.83e-05,0.0813,0.37,92.934,64,Alt. Rock,3.91955,Very High,1990,0
88,Swimming In Your Ocean,Crash Test Dummies,1996,4,0.613,0.795,0,-7.064,1,0.028,0.0986,0.0683,0.0809,0.643,93.873,37,Alt. Rock,3.8177666666666665,Medium,1990,0
89,The Ballad Of Peter Pumpkinhead (feat. Ellen Reid),Crash Test Dummies,1996,4,0.498,0.934,2,-5.323,1,0.103,0.0314,3.17e-05,0.226,0.531,128.017,33,Alt. Rock,3.73955,Medium,1990,3
90,The Unforgiven Ones,Crash Test Dummies,1996,4,0.457,0.482,9,-8.495,0,0.0287,0.931,0.015,0.117,0.327,114.172,25,Alt. Rock,2.9004333333333334,Low,1990,2
91,Crash into Me,Dave Matthews Band,1996,4,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,65,Alt. Rock,5.2744333333333335,Very High,1990,0
92,The Space Between,Dave Matthews Band,2001,4,0.406,0.73,9,-6.278,1,0.0315,0.0471,0.0,0.229,0.207,170.032,56,Alt. Rock,4.033333333333333,High,2000,3
93,California Uber Alles,Dead Kennedys,1980,3,0.317,0.885,8,-4.768,1,0.144,0.176,0.000249,0.221,0.704,111.366,54,Alt. Rock,3.4506666666666668,High,1980,3
94,Holiday in Cambodia,Dead Kennedys,1980,4,0.133,0.927,7,-5.371,1,0.0741,0.00344,0.00044,0.0915,0.5,197.708,53,Alt. Rock,3.7477666666666667,High,1980,3
95,Kill the Poor,Dead Kennedys,1980,4,0.27,0.973,2,-3.219,1,0.0725,0.212,0.00204,0.346,0.443,105.292,40,Alt. Rock,3.1226666666666665,Medium,1980,3
96,Police Truck,Dead Kennedys,1980,4,0.207,0.967,4,-5.381,1,0.0982,0.0627,6.32e-05,0.504,0.598,202.423,53,Alt. Rock,2.4162166666666667,High,1980,3
97,Nazi Punks Fuck Off,Dead Kennedys,1981,3,0.397,0.923,10,-4.029,0,0.201,0.00132,0.0,0.261,0.676,112.666,49,Alt. Rock,1.0565,High,1980,3
98,Too Drunk to Fuck,Dead Kennedys,1981,4,0.441,0.966,4,-4.876,0,0.0503,0.000548,0.000829,0.415,0.586,103.327,48,Alt. Rock,2.67755,High,1980,3
99,Bleed for Me,Dead Kennedys,1985,4,0.289,0.962,9,-5.647,1,0.129,0.000194,7.77e-05,0.0946,0.118,102.594,30,Alt. Rock,3.4152666666666667,Medium,1980,3
100,Chemical Warfare,Dead Kennedys,1985,4,0.302,0.972,2,-3.041,1,0.179,0.674,0.0227,0.288,0.52,119.561,31,Alt. Rock,2.976,Medium,1980,3
101,MTV-Get Off the Air,Dead Kennedys,1985,4,0.35,0.839,6,-6.186,1,0.216,0.0414,0.0,0.0868,0.655,145.385,34,Alt. Rock,3.6231,Medium,1980,3
102,Be Quiet and Drive (Far Away),Deftones,1997,4,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,76,Alt. Rock,4.997766666666666,Very High,1990,3
103,Engine No. 9,Deftones,1997,4,0.358,0.981,2,-5.13,1,0.178,9.3e-05,0.000193,0.386,0.382,93.744,64,Alt. Rock,3.4146666666666667,Very High,1990,3
104,My Own Summer (Shove It),Deftones,1997,4,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,77,Alt. Rock,3.5793333333333335,Very High,1990,3
105,Change (In the House of Flies),Deftones,2000,4,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,78,Alt. Rock,4.992216666666667,Very High,2000,3
106,Digital Bath,Deftones,2000,4,0.338,0.859,4,-4.938,0,0.0824,0.00122,0.211,0.0936,0.504,92.966,68,Alt. Rock,4.256216666666667,Very High,2000,3
107,Passenger,Deftones,2000,4,0.345,0.797,0,-6.152,1,0.0551,0.00188,0.0668,0.145,0.223,117.987,66,Alt. Rock,6.144433333333334,Very High,2000,3
108,Back to School (Mini Maggit),Deftones,2003,4,0.3,0.986,8,-3.022,1,0.107,0.000386,0.000136,0.0924,0.256,85.117,61,Alt. Rock,3.956,Very High,2000,3
109,Diamond Eyes,Deftones,2010,3,0.331,0.845,8,-4.876,1,0.0551,0.000109,0.000212,0.0758,0.468,153.484,54,Alt. Rock,3.137766666666667,High,2010,3
110,Swerve City,Deftones,2012,4,0.457,0.964,10,-2.963,1,0.0656,0.0001,0.00811,0.67,0.372,111.972,62,Alt. Rock,2.7497666666666665,Very High,2010,3
111,Just Can't Get Enough,Depeche Mode,1981,4,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,76,Alt. Rock,3.68155,Very High,1980,0
112,Master and Servant,Depeche Mode,1984,4,0.62,0.916,10,-8.306,0,0.0515,0.0151,0.00228,0.0633,0.799,127.778,48,Alt. Rock,4.214433333333333,High,1980,0
113,People Are People,Depeche Mode,1984,4,0.681,0.829,9,-7.305,0,0.0626,0.0795,2.09e-06,0.327,0.814,119.975,61,Alt. Rock,3.866,Very High,1980,0
114,Never Let Me Down Again,Depeche Mode,1987,4,0.577,0.933,2,-4.173,0,0.0312,0.281,0.0346,0.124,0.767,106.112,59,Alt. Rock,4.34155,Very High,1980,0
115,Strangelove,Depeche Mode,1987,4,0.566,0.961,4,-3.46,0,0.0354,0.044,0.00106,0.352,0.866,118.988,63,Alt. Rock,3.764666666666667,Very High,1980,0
116,Personal Jesus,Depeche Mode,1989,4,0.682,0.742,11,-7.595,1,0.0492,0.135,0.209,0.0979,0.356,130.033,63,Alt. Rock,4.912883333333333,Very High,1980,3
117,Enjoy the Silence,Depeche Mode,1990,4,0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,73,Alt. Rock,4.2522166666666665,Very High,1990,0
118,Policy of Truth,Depeche Mode,1990,4,0.686,0.644,8,-7.286,1,0.0276,0.0121,0.203,0.126,0.372,114.203,65,Alt. Rock,4.899766666666666,Very High,1990,0
119,I Feel You,Depeche Mode,1993,3,0.44,0.905,2,-8.152,1,0.0888,0.02,0.0205,0.45,0.156,122.943,54,Alt. Rock,4.590216666666667,High,1990,3
120,Walking in My Shoes,Depeche Mode,1993,4,0.538,0.711,2,-9.748,0,0.0287,0.111,5.53e-06,0.237,0.502,93.08,57,Alt. Rock,5.4351,High,1990,0
121,Come Back Jonee,DEVO,1978,4,0.355,0.874,7,-7.734,1,0.217,0.0315,0.161,0.253,0.77,176.79,27,Alt. Rock,3.8211,Low,1970,3
122,Jocko Homo,DEVO,1978,4,0.567,0.556,7,-12.952,1,0.108,0.557,0.000441,0.118,0.808,123.899,33,Alt. Rock,3.6248833333333335,Medium,1970,0
123,Smart Patrol / Mr. DNA,DEVO,1978,4,0.495,0.496,7,-14.984,1,0.148,0.00436,0.0839,0.125,0.292,137.286,26,Alt. Rock,6.10555,Low,1970,3
124,Uncontrollable Urge,DEVO,1978,3,0.571,0.858,2,-7.066,1,0.0326,0.0551,0.665,0.0943,0.716,92.523,52,Alt. Rock,3.1877666666666666,High,1970,0
125,Freedom of Choice,DEVO,1980,4,0.835,0.871,0,-13.353,1,0.0359,0.457,0.00852,0.0557,0.963,140.386,39,Alt. Rock,3.476,Medium,1980,0
126,Girl U Want,DEVO,1980,4,0.73,0.398,4,-12.824,1,0.0642,0.343,1.82e-05,0.0491,0.799,172.651,35,Alt. Rock,2.9551,Medium,1980,0
127,Whip It,DEVO,1980,4,0.78,0.869,9,-7.255,1,0.0517,0.0744,0.004,0.0621,0.957,157.902,64,Alt. Rock,2.68555,Very High,1980,0
128,Working in the Coal Mine,DEVO,1981,4,0.794,0.672,5,-7.575,1,0.119,0.562,0.00265,0.0879,0.78,158.937,30,Alt. Rock,2.8195166666666664,Medium,1980,0
129,Peek-A-Boo,DEVO,1982,4,0.772,0.77,0,-11.888,1,0.0691,0.228,0.703,0.0923,0.714,145.024,32,Alt. Rock,3.0122166666666668,Medium,1980,0
130,Through Being Cool,DEVO,1982,4,0.643,0.448,11,-14.897,0,0.06,0.00825,0.00705,0.0913,0.847,156.528,29,Alt. Rock,3.244883333333333,Medium,1980,0
131,The Wagon,Dinosaur Jr.,1991,4,0.251,0.976,7,-10.412,1,0.084,0.000291,0.000563,0.603,0.0892,172.294,43,Alt. Rock,4.922666666666666,Medium,1990,3
132,Feel the Pain,Dinosaur Jr.,1994,4,0.34,0.804,0,-8.355,1,0.0516,0.00331,0.0191,0.0727,0.854,131.5,55,Alt. Rock,4.326666666666667,High,1990,3
133,Down with the Sickness,Disturbed,2000,4,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,75,Alt. Rock,4.65355,Very High,2000,0
134,Stricken,Disturbed,2005,4,0.402,0.969,8,-2.825,1,0.181,9.14e-05,0.0325,0.225,0.262,173.847,71,Alt. Rock,4.0871,Very High,2000,3
